City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,58.28,88,73,2.3,ZA,1635625527
1,esperance,-33.8667,121.9,53.44,70,6,14.97,AU,1635625563
2,la vergne,36.0156,-86.5819,55.81,93,90,10.36,US,1635625564
3,bayangol,50.6977,103.4656,25.66,92,95,2.3,RU,1635625565
4,west wendover,40.7391,-114.0733,56.41,58,1,6.91,US,1635625566
5,ribeira grande,38.5167,-28.7,70.2,88,75,9.22,PT,1635625567
6,hobart,-42.8794,147.3294,55.26,64,40,4.0,AU,1635625567
7,garissa,-0.4536,39.6401,82.6,58,76,17.54,KE,1635625568
8,eyl,7.9803,49.8164,78.31,78,67,11.36,SO,1635625566
9,juneau,58.3019,-134.4197,44.98,84,90,10.36,US,1635625570
10,coahuayana,18.7333,-103.6833,90.88,59,8,5.77,MX,1635625369
11,puerto ayora,-0.7393,-90.3518,76.96,80,91,8.55,EC,1635625443
12,kovur,14.4833,79.9833,79.45,84,100,4.65,IN,1635625573
13,hasaki,35.7333,140.8333,52.2,60,84,6.15,JP,1635625574
14,hofn,64.2539,-15.2082,42.31,86,100,12.66,IS,1635625370
15,east london,-33.0153,27.9116,65.16,85,78,8.08,ZA,1635625392
16,new norfolk,-42.7826,147.0587,54.91,59,83,3.0,AU,1635625399
17,kodiak,57.79,-152.4072,47.71,87,90,32.21,US,1635625519
18,victoria,22.2855,114.1577,75.33,84,97,1.01,HK,1635625288
19,portland,45.5234,-122.6762,63.19,40,1,3.0,US,1635625521
20,provideniya,64.3833,-173.3,12.6,83,88,10.6,RU,1635625579
21,meulaboh,4.1363,96.1285,75.56,89,100,4.23,ID,1635625580
22,marsh harbour,26.5412,-77.0636,81.16,64,15,20.89,BS,1635625438
23,longyearbyen,78.2186,15.6401,17.31,83,95,3.06,SJ,1635625575
24,bluff,-46.6,168.3333,54.91,66,89,20.27,NZ,1635625582
25,nanortalik,60.1432,-45.2371,34.02,75,20,3.74,GL,1635625361
26,fort nelson,58.8053,-122.7002,36.99,44,20,8.05,CA,1635625496
27,busselton,-33.65,115.3333,42.04,90,87,6.08,AU,1635625333
28,mabaruma,8.2,-59.7833,82.31,73,85,5.44,GY,1635625585
29,hovd,48.0056,91.6419,34.48,51,97,5.3,MN,1635625288
30,chokurdakh,70.6333,147.9167,-0.24,98,100,5.3,RU,1635625507
31,avera,33.194,-82.5271,64.27,61,100,14.45,US,1635625587
32,mar del plata,-38.0023,-57.5575,64.42,77,20,7.0,AR,1635625532
33,sungaipenuh,-2.0833,101.3833,66.7,97,100,0.49,ID,1635625588
34,castro,-24.7911,-50.0119,67.64,84,73,9.35,BR,1635625589
